Colonne,Moyenne,Mediane,Mode,Ecart type,Ecart absolu,Etendue
Inscrits,455587.63,366859.0,5045.0,351003.78,272240.72,1808861.0
Abstentions,119852.05,95369.0,2272.0,117017.8,74959.07,929183.0
Votants,335735.58,274372.0,2773.0,258393.81,201517.17,1297100.0
Blancs,5080.46,4001.0,4577.0,3492.52,2817.95,17389.0
Nuls,2309.82,2039.0,17.0,1501.38,1131.99,8236.0
Exprimés,328345.3,268568.0,2701.0,253758.58,197762.2,1272080.0
Voix,1842.0,1627.0,1203.0,1268.37,977.36,7651.0
Voix.1,7499.27,5968.0,19.0,6501.29,4474.96,45883.0
Voix.2,91430.45,67831.0,534.0,77226.14,59929.14,372286.0
Voix.3,10293.34,8944.0,17010.0,7464.32,5140.37,48168.0
Voix.4,76017.08,64543.0,459.0,60278.1,42514.72,372668.0
Voix.5,23226.41,16885.0,9657.0,20760.6,15278.36,108537.0
Voix.6,72079.63,51556.0,501.0,66210.68,49157.01,316871.0
Voix.7,5761.48,4881.0,75.0,4581.79,3333.34,22826.0
Voix.8,15213.58,9561.0,72.0,14807.62,11136.57,80196.0
Voix.9,15691.6,11918.0,51.0,13027.13,9432.01,69513.0
Voix.10,2513.12,2118.0,3663.0,1781.41,1404.5,8686.0
Voix.11,6777.35,6152.0,7271.0,4636.02,3689.5,20535.0
