year,spearman,pS,kendall,pK
2007,1.0,0.0,1.0,0.0
2008,0.9996013553916685,7.340655603861805e-267,0.9888425863691357,4.1138734974748945e-83
2009,0.9993209135451095,4.366631234567281e-247,0.9848097862615943,1.8852096091926227e-82
2010,0.9842859857878563,1.0454909859651268e-130,0.9594031455840839,2.3908469846068307e-78
2011,0.998713675827767,2.2335536236389785e-223,0.9766097593762603,4.086266261931648e-81
2012,0.9975015180942934,9.524569327910112e-199,0.9667966124479097,1.5685682172273698e-79
2013,0.9909887776907355,3.1123083365060596e-151,0.956983465519559,5.804566028982633e-78
2014,0.9965002711710419,2.9804662146538247e-186,0.9580588788815702,3.914544069039556e-78
2015,0.9964817295613521,4.679019062989164e-186,0.9579244522113188,4.112232933835797e-78
2016,0.9945070481293835,1.5014416691885822e-169,0.9447506385266837,4.971123130710635e-76
2017,0.9948153023904771,1.090364983118484e-171,0.9458260518886948,3.3692969950141136e-76
2018,0.9942011115695011,1.5258977145077665e-167,0.9417932517811534,1.4453940564618122e-75
2019,0.9930492140675194,7.771262857300966e-161,0.9352063449388358,1.5388814916250288e-74
2020,0.9914430471281366,3.8074737782467505e-153,0.926334184702245,3.626418113197097e-73
2021,0.9911741937876338,5.302169766447221e-152,0.9253931980104854,5.061267529267706e-73
2022,0.9905345082533342,2.0466404333894955e-149,0.9216292512434467,1.9139138435383978e-72
2023,0.989878598810556,6.12238928115675e-147,0.9186718644979164,5.421992044002444e-72
2024,0.9720207109780237,1.6460824512140925e-109,0.9005242640139803,3.0034234146903893e-69
2025,0.9864321771094559,4.032686090653174e-136,0.90536362414303,5.640872816196356e-70
