rank,name,surface_km2
1,ABW,85545323.0
2,AGO,37856841.0
3,AGO,7768030.0
4,AGO,7605049.0
5,AGO,2117507.755175175
6,AGO,785274.519913497
7,AGO,725098.0491459599
8,AGO,590547.3794915207
9,AGO,515224.18422131287
10,AGO,429003.2172921432
11,AGO,227682.1241419019
12,AGO,220389.098279285
13,AGO,219236.0544762085
14,AGO,199790.70728205977
15,AGO,169020.97873832448
16,AGO,150576.24167114196
17,AGO,126647.2394228514
18,AGO,114253.63288184932
19,AGO,108631.63262403324
20,AGO,107123.45165190856
21,AGO,104980.98233370537
22,AGO,102387.11325184592
23,AGO,94038.5654743924
24,AGO,84037.84486837428
25,AGO,77616.69696253678
26,AGO,74084.54032026207
27,AIA,70811.17854941761
28,AIA,68310.31997601887
29,AIA,65538.61924288284
30,AIA,64363.40035568165
31,AIA,56324.611332127584
32,AIA,52223.758005898926
33,AIA,46297.42656126657
34,AIA,43488.228945239214
35,AIA,42806.707204672886
36,ALA,42788.03558696274
37,ALA,38363.53193440382
38,ALA,36815.93958659607
39,ALA,35970.38916255475
40,ALA,35412.39456743814
41,ALA,34042.90389406988
42,ALA,33414.93880418793
43,ALA,32773.00611265991
44,ALA,31938.499994633068
45,ALA,28614.462240602534
46,ALA,25453.625319451905
47,ALA,25068.788922981064
48,ALA,24867.856060276303
49,ALA,23784.201300423243
50,ALA,18313.927946045776
51,ALA,18015.95446544385
52,ALA,17409.0138547194
53,ALA,16414.940015486758
54,ALA,16407.790642302953
55,ALA,16072.22072754684
56,ALA,14478.93154391058
57,ALA,14307.818052714954
58,ALA,14163.30455295874
59,ALA,14089.051178658892
60,ALA,13216.648361791496
61,ALA,12796.25569676255
62,ALA,12761.879512116153
63,ALA,12481.726437656494
64,ALA,11647.128004502914
65,ALA,11558.82553032148
66,ALA,11499.212558884707
67,ALA,11456.915487328915
68,ALA,11390.393415859637
69,ALA,11152.45523226265
70,ALA,10993.090991796747
71,ALA,10922.607245265275
72,ALA,10693.21975267983
73,ALA,10672.315815755
74,ALA,10457.216211008776
75,ALA,10286.92444927627
76,ALA,9853.630946239047
77,ALA,9798.796715093038
78,ALA,9583.078995262244
79,ALA,9459.71412127014
80,ALA,9267.652540553589
81,ALA,8803.845847082725
82,ALA,8739.211183905372
83,ALA,8728.64369444808
84,ALA,8705.644208048398
85,ALA,8589.305516768363
86,ALA,8532.715970754496
87,ALA,8452.993187153434
88,ALA,8331.836655089191
89,ALA,8289.8099500054
90,ALA,7932.365360308687
91,ALA,7764.32619592894
92,ALA,7353.4468577214075
93,ALA,7308.570402027177
94,ALA,7224.163248347743
95,ALA,7155.604365358063
96,ALA,7080.123415148152
97,ALA,7049.725093169198
98,ALA,6812.070490180392
99,ALA,6590.135244267635
100,ALA,6521.8949068258125
101,ALA,6433.860624966421
102,ALA,6266.831605587936
103,ALA,5798.050355329302
104,ALA,5753.5390428614255
105,ALA,5721.411772819114
106,ALA,5698.064375443699
107,ALA,5676.500314848565
108,ALA,5412.366904311376
109,ALA,5387.069877083755
110,ALA,5369.476166015123
111,ALA,5329.38670785461
112,ALA,5280.763965181015
113,ALA,5104.146843616761
114,ALA,5072.52442462156
115,ALA,5025.828797676209
116,ALA,4929.368100451554
117,ALA,4835.6961384810165
118,ALA,4726.8712262589615
119,ALA,4674.869042109979
120,ALA,4617.5383295030715
121,ALA,4595.796792609435
122,ALA,4552.865012682528
123,ALA,4519.0045327765365
124,ALA,4509.36176221636
125,ALA,4448.348232126989
126,ALA,4440.978848217629
127,ALA,4427.188627534504
128,ALA,4417.6810712326915
129,ALA,4403.300451205194
130,ALA,4299.801103310396
131,ALA,4172.935944463508
132,ALA,4096.9689334826035
133,ALA,4085.922609718449
134,ALA,3954.3731832377284
135,ALA,3918.0243564437483
136,ALA,3835.834800466852
137,ALA,3824.0986127657256
138,ALA,3813.348510805009
139,ALA,3783.7035529150317
140,ALA,3768.2219842115055
141,ALA,3758.8448957828255
142,ALA,3749.927834244625
143,ALA,3731.66008505534
144,ALA,3678.977922389272
145,ALA,3655.160313408943
146,ALA,3637.7536763787157
147,ALA,3608.818095274819
148,ALA,3505.405997439613
149,ALA,3466.5370395253035
150,ALA,3268.2325441519456
151,ALA,3262.5103834500374
152,ALA,3213.877109243606
153,ALA,3175.905822914281
154,ALA,3155.3705884708666
155,ALA,3133.5901667799767
156,ALA,3084.558135733781
157,ALA,3079.11663898507
158,ALA,3037.93080127187
159,ALA,3035.6794214358556
160,ALA,3006.996781839915
161,ALA,2987.82944410641
162,ALA,2972.7617708313305
163,ALA,2956.711670098236
164,ALA,2945.6735818080715
165,ALA,2932.4796206134106
166,ALA,2930.449690720819
167,ALA,2902.593846373905
168,ALA,2857.2580732247443
169,ALA,2792.834101866528
170,ALA,2768.694969665428
171,ALA,2753.073857385201
172,ALA,2620.6930270787147
173,ALA,2538.708514379441
174,ALA,2524.0060461395115
175,ALA,2512.652312562936
176,ALA,2471.570741370272
177,ALA,2471.557852125183
178,ALA,2470.4799257890013
179,ALA,2420.293091712997
180,ALA,2399.344149985221
181,ALA,2346.2507290706885
182,ALA,2316.6106825604893
183,ALA,2294.551329912218
184,ALA,2294.140524155068
185,ALA,2281.4668609106297
186,ALA,2272.5499035219477
187,ALA,2245.685691037537
188,ALA,2214.3949968920433
189,ALA,2208.5269216922684
190,ALA,2195.703773036925
191,ALA,2178.0013097890424
192,ALA,2127.361446996486
193,ALA,2105.250845989045
194,ALA,2090.864795554105
195,ALA,2075.626842723891
196,ALA,2074.634113017855
197,ALA,2064.7435092871233
198,ALA,2058.1364122579967
199,ALA,2054.024312526824
200,ALA,2044.434801811632
201,ALA,2040.135344091764
202,ALA,2035.095096700427
203,ALA,2001.96146988707
204,ALA,1950.4566396059968
205,ALA,1939.359622490743
206,ALA,1910.0388208190384
207,ALA,1894.105902551223
208,ALA,1868.4393526418357
209,ALA,1855.7085491691198
210,ALA,1855.0651230627475
211,ALA,1851.7410968138613
212,ALA,1850.7984169470749
213,ALA,1825.904968974256
214,ALA,1817.4754602252729
215,ALA,1789.464617848382
216,ALA,1744.7475057185318
217,ALA,1740.7555924077371
218,ALA,1713.1536973410746
219,ALA,1709.8721537349509
220,ALA,1701.2668947508828
221,ALA,1701.1290767735184
222,ALA,1694.3447189923913
223,ALA,1671.4090279485386
224,ALA,1669.8847632131706
225,ALA,1669.36956162434
226,ALA,1665.2482514391845
227,ALA,1664.5336354039707
228,ALA,1662.263402303171
229,ALA,1644.3793684953675
230,ALA,1637.6727199937725
231,ALA,1631.7574871338716
232,ALA,1591.5046685808445
233,ALA,1571.3543175572104
234,ALA,1567.9883838087226
235,ALA,1561.803123921243
236,ALA,1560.184471846066
237,ALA,1552.7104451783905
